SITE	Age (Ma)	Genus	d18O 5pt
806	0.638	CIB	4.8
607	0.6399	CIB	4.76
849	0.64	CIB	4.63
607	0.6413	CIB	4.68
806	0.642	CIB	4.68
849	0.644	CIB	4.54
607	0.6443	CIB	4.49
806	0.646	CIB	4.58
659	0.648	CIB	4.48
849	0.648	CIB	4.49
806	0.649	CIB	4.52
849	0.652	CIB	4.53
806	0.653	CIB	4.42
849	0.656	CIB	4.49
806	0.657	CIB	4.46
607	0.6572	CIB	4.45
607	0.6598	CIB	4.44
806	0.66	CIB	4.5
849	0.66	CIB	4.41
607	0.6625	CIB	4.4
806	0.664	CIB	4.45
849	0.664	CIB	4.44
607	0.6664	CIB	4.32
607	0.6678	CIB	4.39
806	0.668	CIB	4.34
849	0.668	CIB	4.22
607	0.6708	CIB	4.2
806	0.671	CIB	4.18
849	0.672	CIB	4.27
607	0.6731	CIB	4.24
659	0.674	CIB	4.22
806	0.675	CIB	4.21
607	0.6757	CIB	4.35
849	0.676	CIB	4.12
659	0.677	CIB	4.15
607	0.6784	CIB	4.27
849	0.68	CIB	4.16
659	0.68	CIB	4.08
607	0.681	CIB	4.04
659	0.683	CIB	4
607	0.6837	CIB	3.77
849	0.684	CIB	3.86
806	0.685	CIB	3.7
659	0.686	CIB	3.74
607	0.6864	CIB	3.63
849	0.688	CIB	3.65
607	0.689	CIB	3.55
659	0.69	CIB	3.59
659	0.692	CIB	3.51
849	0.692	CIB	3.51
806	0.694	CIB	3.52
659	0.694	CIB	3.54
659	0.696	CIB	3.53
849	0.696	CIB	3.64
607	0.6978	CIB	3.65
849	0.7	CIB	3.68
659	0.701	CIB	3.7
607	0.701	CIB	3.82
659	0.704	CIB	3.74
849	0.704	CIB	3.83
806	0.705	CIB	3.96
607	0.7078	CIB	4.06
849	0.708	CIB	4.06
849	0.712	CIB	4.23
659	0.713	CIB	4.21
607	0.713	CIB	4.32
806	0.715	CIB	4.32
659	0.715	CIB	4.39
849	0.716	CIB	4.43
607	0.7165	CIB	4.53
607	0.72	CIB	4.43
849	0.72	CIB	4.45
659	0.723	CIB	4.4
607	0.7235	CIB	4.25
849	0.724	CIB	4.26
806	0.725	CIB	4.24
607	0.7269	CIB	4.14
849	0.728	CIB	4.09
659	0.73	CIB	4.17
607	0.7304	CIB	4.04
849	0.732	CIB	4
607	0.7339	CIB	3.99
806	0.734	CIB	4.02
659	0.736	CIB	3.98
849	0.736	CIB	4.07
607	0.739	CIB	4.08
849	0.74	CIB	4.15
607	0.7409	CIB	4.13
659	0.743	CIB	4.14
849	0.744	CIB	4.16
607	0.7448	CIB	4.24
